,username,repo_name,stars,repo_url
0,bregman-arie,devops-exercises,60200,https://github.com/bregman-arie/devops-exercises
1,localstack,localstack,50700,https://github.com/localstack/localstack
2,ByteByteGoHq,system-design-101,50600,https://github.com/ByteByteGoHq/system-design-101
3,serverless,serverless,45700,https://github.com/serverless/serverless
4,donnemartin,data-science-ipython-notebooks,25900,https://github.com/donnemartin/data-science-ipython-notebooks
5,sst,sst,18800,https://github.com/sst/sst
6,pulumi,pulumi,18600,https://github.com/pulumi/pulumi
7,kubernetes-sigs,kubespray,14900,https://github.com/kubernetes-sigs/kubespray
8,aws,aws-cli,14600,https://github.com/aws/aws-cli
9,getsops,sops,14500,https://github.com/getsops/sops
10,ramitsurana,awesome-kubernetes,14500,https://github.com/ramitsurana/awesome-kubernetes
11,donnemartin,awesome-aws,11900,https://github.com/donnemartin/awesome-aws
12,caprover,caprover,11500,https://github.com/caprover/caprover
13,GoogleCloudPlatform,terraformer,11200,https://github.com/GoogleCloudPlatform/terraformer
14,aws,aws-cdk,10800,https://github.com/aws/aws-cdk
15,apereo,cas,10500,https://github.com/apereo/cas
16,aws,chalice,10100,https://github.com/aws/chalice
17,infracost,infracost,9800,https://github.com/infracost/infracost
18,aws-amplify,amplify-js,9300,https://github.com/aws-amplify/amplify-js
19,google,go-cloud,9300,https://github.com/google/go-cloud
